p,L_mean,L_std,C_mean,C_std,L_norm,C_norm,six_degrees,frac_infectada,tiempo_propagacion
0.0,50.4505,0.0,0.6667,0.0,1.0,1.0,✗  L=50.45,0.18460000000000001,51.0
0.0001,47.247,4.8701,0.6665,0.0002,0.9365,0.9998,✗  L=47.25,0.184,51.0
0.0005,32.6821,9.3128,0.6654,0.0009,0.6478,0.9981,✗  L=32.68,0.184,51.0
0.001,29.2705,9.0766,0.665,0.0008,0.5802,0.9975,✗  L=29.27,0.32839999999999997,54.0
0.005,12.4249,0.8836,0.6573,0.0017,0.2463,0.9859,✗  L=12.42,0.7978,77.2
0.01,9.0277,0.755,0.6478,0.0037,0.1789,0.9717,✗  L=9.03,0.9239999999999998,52.0
0.05,5.2136,0.0702,0.5729,0.0044,0.1033,0.8593,✓  L=5.21,0.9625999999999999,22.2
0.1,4.4496,0.0517,0.4917,0.0102,0.0882,0.7375,✓  L=4.45,0.9702,17.8
0.2,3.8615,0.0183,0.346,0.0062,0.0765,0.519,✗  L=3.86,0.9642,14.8
0.5,3.3817,0.0053,0.0907,0.0032,0.067,0.136,✗  L=3.38,0.9576,12.2
1.0,3.2686,0.0019,0.0093,0.0006,0.0648,0.014,✗  L=3.27,0.9566000000000001,12.0
